Cod_ibge 6 digitos;Cod_ibge;Município;Cod_RA;Região Administrativa;Região de Governo;Região Metropolitana;Subdivisao_RMSP;Macrometropole;Unidades Hidrográficas de Gerenciamento de Recursos Hídricos - URHIS;População 2020;Porte de população 2020;Latitude;Longitude
350010;3500105;Adamantina;691;Região Administrativa de Presidente Prudente;Região de Governo de Adamantina;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;33894;Mais de 20 mil até 50 mil;-21,58;-51,06
350020;3500204;Adolfo;689;Região Administrativa de São José do Rio Preto;Região de Governo de São José do Rio Preto;Demais municípios;Demais municípios;Demais municípios;16 - Tietê/Batalha;3447;Até 5 mil;-21,29;-49,65
350030;3500303;Aguaí;686;Região Administrativa de Campinas;Região de Governo de São João da Boa Vista;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;35608;Mais de 20 mil até 50 mil;-22,05;-47,04
350040;3500402;Águas da Prata;686;Região Administrativa de Campinas;Região de Governo de São João da Boa Vista;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;7797;Mais de 5 mil até 10 mil;-21,91;-46,69
350050;3500501;Águas de Lindóia;686;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;Demais municípios;Demais municípios;Demais municípios;09 - Mogi-Guaçu;18374;Mais de 10 mil até 20 mil;-22,47;-46,60
350055;3500550;Águas de Santa Bárbara;685;Região Administrativa de Sorocaba;Região de Governo de Avaré;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;5931;Mais de 5 mil até 10 mil;-22,86;-49,26
350060;3500600;Águas de São Pedro;686;Região Administrativa de Campinas;Região de Governo de Piracicaba;Demais municípios;Demais municípios;AUPIRACICABA;05 - Piracicaba/Capivari/Jundiaí;3122;Até 5 mil;-22,60;-47,88
350070;3500709;Agudos;688;Região Administrativa de Bauru;Região de Governo de Bauru;Demais municípios;Demais municípios;Demais municípios;13 - Tietê/Jacaré;36134;Mais de 20 mil até 50 mil;-22,57;-49,11
350075;3500758;Alambari;685;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;Demais municípios;RMS;10 - Tietê/Sorocaba;5779;Mais de 5 mil até 10 mil;-23,55;-47,87
350080;3500808;Alfredo Marcondes;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;3927;Até 5 mil;-21,93;-51,40
350090;3500907;Altair;694;Região Administrativa de Barretos;Região de Governo de Barretos;Demais municípios;Demais municípios;Demais municípios;12 - Baixo Pardo/Grande;4036;Até 5 mil;-20,53;-49,09
350100;3501004;Altinópolis;687;Região Administrativa de Ribeirão Preto;Região de Governo de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;Demais municípios;Demais municípios;04 - Pardo;15553;Mais de 10 mil até 20 mil;-21,02;-47,39
350110;3501103;Alto Alegre;690;Região Administrativa de Araçatuba;Região de Governo de Araçatuba;Demais municípios;Demais municípios;Demais municípios;19 - Baixo Tietê;4017;Até 5 mil;-21,61;-50,19
350115;3501152;Alumínio;685;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;Demais municípios;RMS;10 - Tietê/Sorocaba;17972;Mais de 10 mil até 20 mil;-23,53;-47,28
350120;3501202;Álvares Florence;689;Região Administrativa de São José do Rio Preto;Região de Governo de Votuporanga;Demais municípios;Demais municípios;Demais municípios;15 - Turvo/Grande;3621;Até 5 mil;-20,29;-49,92
350130;3501301;Álvares Machado;691;Região Administrativa de Presidente Prudente;Região de Governo de Presidente Prudente;Demais municípios;Demais municípios;Demais municípios;21 - Peixe;23789;Mais de 20 mil até 50 mil;-22,13;-51,52
350140;3501400;Álvaro de Carvalho;692;Região Administrativa de Marília;Região de Governo de Marília;Demais municípios;Demais municípios;Demais municípios;20 - Aguapeí;5044;Mais de 5 mil até 10 mil;-22,09;-49,73
350150;3501509;Alvinlândia;692;Região Administrativa de Marília;Região de Governo de Marília;Demais municípios;Demais municípios;Demais municípios;17 - Médio Paranapanema;3176;Até 5 mil;-22,45;-49,76
