Ano;CLAS_CNAE_20;Descr_Classe;Emprego_formal
2020;1709;Caça e serviços relacionados;2
2019;1709;Caça e serviços relacionados;2
2017;1709;Caça e serviços relacionados;2
2018;1709;Caça e serviços relacionados;2
2015;1148;Cultivo de fumo;2
2021;1709;Caça e serviços relacionados;2
2020;1148;Cultivo de fumo;2
2015;1709;Caça e serviços relacionados;2
2017;1148;Cultivo de fumo;3
2016;1148;Cultivo de fumo;3
2014;1709;Caça e serviços relacionados;3
2016;1709;Caça e serviços relacionados;3
2019;1148;Cultivo de fumo;3
2013;1709;Caça e serviços relacionados;3
2018;1148;Cultivo de fumo;3
2014;1148;Cultivo de fumo;4
2012;1709;Caça e serviços relacionados;5
2013;1148;Cultivo de fumo;6
2012;1148;Cultivo de fumo;6
2019;1351;Cultivo de cacau;21
2021;1351;Cultivo de cacau;22
2012;1351;Cultivo de cacau;28
2020;1351;Cultivo de cacau;28
2013;1351;Cultivo de cacau;47
2014;1351;Cultivo de cacau;56
2020;3213;Aqüicultura em água salgada e salobra;57
2021;3213;Aqüicultura em água salgada e salobra;58
2020;3124;Pesca em água doce;74
2015;1351;Cultivo de cacau;77
2016;1351;Cultivo de cacau;79
2017;1351;Cultivo de cacau;80
2018;1351;Cultivo de cacau;85
2012;3124;Pesca em água doce;88
2014;3124;Pesca em água doce;91
2021;3124;Pesca em água doce;95
2017;3213;Aqüicultura em água salgada e salobra;96
2013;3124;Pesca em água doce;98
2015;3124;Pesca em água doce;99
2018;3213;Aqüicultura em água salgada e salobra;103
2019;3124;Pesca em água doce;104
2015;3213;Aqüicultura em água salgada e salobra;114
2019;3213;Aqüicultura em água salgada e salobra;115
2016;3124;Pesca em água doce;115
2017;3124;Pesca em água doce;125
2018;3124;Pesca em água doce;127
2016;3213;Aqüicultura em água salgada e salobra;149
2012;3213;Aqüicultura em água salgada e salobra;173
2014;3213;Aqüicultura em água salgada e salobra;173
2013;3213;Aqüicultura em água salgada e salobra;192
2012;1636;Atividades de pós-colheita;372
2021;3116;Pesca em água salgada;440
2020;1539;Criação de caprinos e ovinos;445
2013;1539;Criação de caprinos e ovinos;454
2013;1636;Atividades de pós-colheita;454
2014;1539;Criação de caprinos e ovinos;459
2019;1539;Criação de caprinos e ovinos;459
2020;3116;Pesca em água salgada;461
2012;1539;Criação de caprinos e ovinos;470
2017;1539;Criação de caprinos e ovinos;471
2019;3116;Pesca em água salgada;473
2018;1539;Criação de caprinos e ovinos;476
2014;1636;Atividades de pós-colheita;511
2016;1539;Criação de caprinos e ovinos;512
2021;1539;Criação de caprinos e ovinos;519
2015;1539;Criação de caprinos e ovinos;535
2018;3116;Pesca em água salgada;538
2017;3116;Pesca em água salgada;539
2015;1636;Atividades de pós-colheita;582
2016;1636;Atividades de pós-colheita;620
2016;3116;Pesca em água salgada;635
2015;3116;Pesca em água salgada;653
2018;2209;Produção florestal - florestas nativas;661
2017;1636;Atividades de pós-colheita;667
2018;1636;Atividades de pós-colheita;696
2014;3116;Pesca em água salgada;699
2012;3116;Pesca em água salgada;713
2019;2209;Produção florestal - florestas nativas;722
2013;2209;Produção florestal - florestas nativas;725
2013;3116;Pesca em água salgada;734
2020;2209;Produção florestal - florestas nativas;793
2012;2209;Produção florestal - florestas nativas;839
2020;1326;Cultivo de uva;842
2021;1121;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;858
2021;1326;Cultivo de uva;863
2015;3221;Aqüicultura em água doce;881
2020;1121;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;882
2012;3221;Aqüicultura em água doce;895
2019;1121;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;905
2019;1326;Cultivo de uva;914
2018;1326;Cultivo de uva;936
2017;1326;Cultivo de uva;953
2016;3221;Aqüicultura em água doce;954
2017;2209;Produção florestal - florestas nativas;983
2021;2209;Produção florestal - florestas nativas;990
2014;3221;Aqüicultura em água doce;1016
2016;1326;Cultivo de uva;1071
2014;1326;Cultivo de uva;1079
2013;3221;Aqüicultura em água doce;1100
2015;1326;Cultivo de uva;1126
2021;3221;Aqüicultura em água doce;1244
