Ano;CLAS_CNAE_20;Descr_Classe;Emprego_formal
2015;84256;Defesa Civil;1
2017;84256;Defesa Civil;1
2014;64701;Fundos de investimento;1
2013;61426;Operadoras de televisão por assinatura por microondas;1
2016;84256;Defesa Civil;1
2021;51307;Transporte espacial;3
2018;84213;Relações exteriores;4
2021;84213;Relações exteriores;4
2019;84213;Relações exteriores;5
2014;84213;Relações exteriores;5
2013;84213;Relações exteriores;5
2020;84213;Relações exteriores;5
2015;84213;Relações exteriores;6
2012;84213;Relações exteriores;7
2017;84213;Relações exteriores;11
2016;84213;Relações exteriores;18
2020;61434;Operadoras de televisão por assinatura por satélite;22
2020;50220;Transporte por navegação interior de passageiros em linhas regulares;24
2012;50998;Transportes aquaviários não especificados anteriormente;25
2019;61434;Operadoras de televisão por assinatura por satélite;26
2017;50122;Transporte marítimo de longo curso;26
2021;50220;Transporte por navegação interior de passageiros em linhas regulares;26
2021;64352;Crédito imobiliário;27
2018;50122;Transporte marítimo de longo curso;27
2020;64352;Crédito imobiliário;29
2019;64352;Crédito imobiliário;29
2018;80307;Atividades de investigação particular;30
2021;50122;Transporte marítimo de longo curso;31
2012;64336;Bancos de desenvolvimento;32
2013;64336;Bancos de desenvolvimento;33
2014;64336;Bancos de desenvolvimento;33
2013;50998;Transportes aquaviários não especificados anteriormente;33
2016;64336;Bancos de desenvolvimento;34
2015;45421;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;34
2013;45421;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;34
2012;45421;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;34
2021;92003;Atividades de exploração de jogos de azar e apostas;35
2014;50998;Transportes aquaviários não especificados anteriormente;36
2015;64336;Bancos de desenvolvimento;36
2017;64336;Bancos de desenvolvimento;37
2018;61434;Operadoras de televisão por assinatura por satélite;37
2018;64352;Crédito imobiliário;38
2018;64336;Bancos de desenvolvimento;39
2017;45421;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;39
2012;64611;Holdings de instituições financeiras;39
2020;80307;Atividades de investigação particular;40
2021;50998;Transportes aquaviários não especificados anteriormente;41
2017;50220;Transporte por navegação interior de passageiros em linhas regulares;41
2020;45421;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;42
2017;64352;Crédito imobiliário;42
2019;64336;Bancos de desenvolvimento;42
2018;50220;Transporte por navegação interior de passageiros em linhas regulares;42
2019;50220;Transporte por navegação interior de passageiros em linhas regulares;43
2020;64336;Bancos de desenvolvimento;43
2014;64387;Bancos de câmbio e outras instituições de intermediação não-monetária;44
2019;80307;Atividades de investigação particular;45
2013;64387;Bancos de câmbio e outras instituições de intermediação não-monetária;46
2021;61434;Operadoras de televisão por assinatura por satélite;48
2021;64336;Bancos de desenvolvimento;48
2016;50220;Transporte por navegação interior de passageiros em linhas regulares;48
2016;64352;Crédito imobiliário;49
2013;49507;Trens turísticos, teleféricos e similares;50
2015;50220;Transporte por navegação interior de passageiros em linhas regulares;52
2020;50998;Transportes aquaviários não especificados anteriormente;53
2015;90027;Criação artística;53
2018;45421;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;53
2019;45421;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;56
2013;64611;Holdings de instituições financeiras;58
2012;49507;Trens turísticos, teleféricos e similares;60
2015;64387;Bancos de câmbio e outras instituições de intermediação não-monetária;60
2019;50122;Transporte marítimo de longo curso;61
2014;45421;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;63
2016;45421;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;64
2020;92003;Atividades de exploração de jogos de azar e apostas;64
2014;90027;Criação artística;66
2014;64611;Holdings de instituições financeiras;70
2018;50998;Transportes aquaviários não especificados anteriormente;71
2015;64352;Crédito imobiliário;71
2017;80307;Atividades de investigação particular;73
2019;50998;Transportes aquaviários não especificados anteriormente;74
2013;50220;Transporte por navegação interior de passageiros em linhas regulares;76
2012;50220;Transporte por navegação interior de passageiros em linhas regulares;76
2021;45421;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;77
2014;64352;Crédito imobiliário;78
2015;50998;Transportes aquaviários não especificados anteriormente;78
2012;61426;Operadoras de televisão por assinatura por microondas;79
2012;50912;Transporte por navegação de travessia;79
2012;50114;Transporte marítimo de cabotagem;80
2013;50912;Transporte por navegação de travessia;80
2016;64387;Bancos de câmbio e outras instituições de intermediação não-monetária;80
2015;64611;Holdings de instituições financeiras;81
2014;50220;Transporte por navegação interior de passageiros em linhas regulares;83
2016;50998;Transportes aquaviários não especificados anteriormente;84
2016;64611;Holdings de instituições financeiras;84
2018;92003;Atividades de exploração de jogos de azar e apostas;86
2019;92003;Atividades de exploração de jogos de azar e apostas;87
2017;64387;Bancos de câmbio e outras instituições de intermediação não-monetária;94
2020;50122;Transporte marítimo de longo curso;96
2017;64611;Holdings de instituições financeiras;100
2016;90027;Criação artística;102
