Ano;CLAS_CNAE_20;Descr_Classe;Emprego_formal
2012;41204;Construção de edifícios;230687
2013;41204;Construção de edifícios;223907
2014;41204;Construção de edifícios;214631
2015;41204;Construção de edifícios;198543
2016;41204;Construção de edifícios;166918
2021;41204;Construção de edifícios;166154
2020;41204;Construção de edifícios;154179
2017;41204;Construção de edifícios;151516
2018;41204;Construção de edifícios;150916
2019;41204;Construção de edifícios;147723
2013;14126;Confecção de peças do vestuário, exceto roupas íntimas;139314
2012;14126;Confecção de peças do vestuário, exceto roupas íntimas;138086
2014;14126;Confecção de peças do vestuário, exceto roupas íntimas;134654
2012;10716;Fabricação de açúcar em bruto;125833
2013;10716;Fabricação de açúcar em bruto;124498
2015;14126;Confecção de peças do vestuário, exceto roupas íntimas;120752
2012;29492;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;118313
2013;29492;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;117207
2014;10716;Fabricação de açúcar em bruto;116205
2016;14126;Confecção de peças do vestuário, exceto roupas íntimas;114789
2015;10716;Fabricação de açúcar em bruto;114785
2016;10716;Fabricação de açúcar em bruto;113737
2017;10716;Fabricação de açúcar em bruto;112117
2017;14126;Confecção de peças do vestuário, exceto roupas íntimas;111841
2021;10716;Fabricação de açúcar em bruto;110053
2020;10716;Fabricação de açúcar em bruto;107199
2018;10716;Fabricação de açúcar em bruto;106338
2014;29492;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;105278
2019;10716;Fabricação de açúcar em bruto;104841
2018;14126;Confecção de peças do vestuário, exceto roupas íntimas;104492
2019;14126;Confecção de peças do vestuário, exceto roupas íntimas;98115
2021;29492;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;93821
2018;29492;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;93618
2013;22293;Fabricação de artefatos de material plástico não especificados anteriormente;93420
2012;22293;Fabricação de artefatos de material plástico não especificados anteriormente;92648
2019;29492;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;92334
2021;14126;Confecção de peças do vestuário, exceto roupas íntimas;90955
2020;29492;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;90581
2015;29492;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;89716
2017;29492;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;88669
2014;22293;Fabricação de artefatos de material plástico não especificados anteriormente;87948
2020;14126;Confecção de peças do vestuário, exceto roupas íntimas;85601
2016;29492;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;82370
2015;22293;Fabricação de artefatos de material plástico não especificados anteriormente;78549
2014;43304;Obras de acabamento;77126
2018;22293;Fabricação de artefatos de material plástico não especificados anteriormente;77076
2021;22293;Fabricação de artefatos de material plástico não especificados anteriormente;76901
2017;22293;Fabricação de artefatos de material plástico não especificados anteriormente;76835
2020;22293;Fabricação de artefatos de material plástico não especificados anteriormente;76525
2019;22293;Fabricação de artefatos de material plástico não especificados anteriormente;76284
2013;43304;Obras de acabamento;75575
2016;22293;Fabricação de artefatos de material plástico não especificados anteriormente;75245
2012;43304;Obras de acabamento;71199
2015;43304;Obras de acabamento;66073
2021;43991;Serviços especializados para construção não especificados anteriormente;62054
2021;43215;Instalações elétricas;58995
2014;43991;Serviços especializados para construção não especificados anteriormente;58930
2015;43991;Serviços especializados para construção não especificados anteriormente;56345
2016;43304;Obras de acabamento;56239
2014;43215;Instalações elétricas;56005
2013;43991;Serviços especializados para construção não especificados anteriormente;55645
2020;43991;Serviços especializados para construção não especificados anteriormente;55643
2013;43215;Instalações elétricas;55234
2015;43215;Instalações elétricas;55193
2012;25993;Fabricação de produtos de metal não especificados anteriormente;54866
2019;43215;Instalações elétricas;53957
2021;43304;Obras de acabamento;53798
2013;42995;Obras de engenharia civil não especificadas anteriormente;53496
2013;25993;Fabricação de produtos de metal não especificados anteriormente;53166
2012;43991;Serviços especializados para construção não especificados anteriormente;53146
2018;43215;Instalações elétricas;52881
2020;43215;Instalações elétricas;52132
2021;22226;Fabricação de embalagens de material plástico;51683
2021;38114;Coleta de resíduos não-perigosos;51609
2020;38114;Coleta de resíduos não-perigosos;51278
2016;43215;Instalações elétricas;50648
2020;22226;Fabricação de embalagens de material plástico;50306
2014;25993;Fabricação de produtos de metal não especificados anteriormente;50039
2014;22226;Fabricação de embalagens de material plástico;50031
2019;38114;Coleta de resíduos não-perigosos;49430
2017;43304;Obras de acabamento;49092
2019;21211;Fabricação de medicamentos para uso humano;48985
2018;43991;Serviços especializados para construção não especificados anteriormente;48469
2019;43991;Serviços especializados para construção não especificados anteriormente;48340
2020;43304;Obras de acabamento;48338
2012;22226;Fabricação de embalagens de material plástico;48292
2015;38114;Coleta de resíduos não-perigosos;48264
2012;42111;Construção de rodovias e ferrovias;48250
2015;21211;Fabricação de medicamentos para uso humano;47918
2018;22226;Fabricação de embalagens de material plástico;47892
2019;22226;Fabricação de embalagens de material plástico;47867
2016;43991;Serviços especializados para construção não especificados anteriormente;47745
2016;21211;Fabricação de medicamentos para uso humano;47711
2017;43215;Instalações elétricas;47631
2017;22226;Fabricação de embalagens de material plástico;47265
2016;22226;Fabricação de embalagens de material plástico;46906
2017;21211;Fabricação de medicamentos para uso humano;46424
2018;43304;Obras de acabamento;46158
2018;21211;Fabricação de medicamentos para uso humano;45108
2017;43991;Serviços especializados para construção não especificados anteriormente;44530
