Ano;CLAS_CNAE_20;Descr_Classe;Emprego_formal
2014;84116;Administração pública em geral;1527388
2013;84116;Administração pública em geral;1526153
2015;84116;Administração pública em geral;1522255
2012;84116;Administração pública em geral;1503958
2016;84116;Administração pública em geral;1470236
2019;84116;Administração pública em geral;1424998
2017;84116;Administração pública em geral;1424983
2018;84116;Administração pública em geral;1410290
2021;84116;Administração pública em geral;1400056
2020;84116;Administração pública em geral;1394333
2021;86101;Atividades de atendimento hospitalar;441975
2020;86101;Atividades de atendimento hospitalar;427918
2019;56112;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;425790
2021;47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;424024
2018;56112;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;418873
2020;47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;416415
2017;56112;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;410286
2015;56112;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;404396
2019;47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;403060
2014;56112;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;402930
2016;56112;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;402480
2019;86101;Atividades de atendimento hospitalar;399389
2018;86101;Atividades de atendimento hospitalar;392690
2017;86101;Atividades de atendimento hospitalar;390552
2014;86101;Atividades de atendimento hospitalar;388240
2013;56112;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;384404
2018;47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;383989
2017;47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;383816
2015;86101;Atividades de atendimento hospitalar;383006
2016;86101;Atividades de atendimento hospitalar;382562
2016;47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;381248
2015;47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;377687
2013;86101;Atividades de atendimento hospitalar;374325
2014;47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;373372
2012;56112;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;365953
2012;86101;Atividades de atendimento hospitalar;359917
2013;47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;357052
2021;56112;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;350122
2020;56112;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;341715
2012;47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;338794
2021;49302;Transporte rodoviário de carga;324125
2020;49302;Transporte rodoviário de carga;298862
2014;49302;Transporte rodoviário de carga;293747
2013;49302;Transporte rodoviário de carga;289162
2015;49302;Transporte rodoviário de carga;284831
2019;49302;Transporte rodoviário de carga;279949
2012;49302;Transporte rodoviário de carga;277907
2018;49302;Transporte rodoviário de carga;273441
2020;78205;Locação de mão-de-obra temporária;268460
2016;49302;Transporte rodoviário de carga;264753
2018;81214;Limpeza em prédios e em domicílios;261939
2017;49302;Transporte rodoviário de carga;260922
2014;81214;Limpeza em prédios e em domicílios;259926
2021;78205;Locação de mão-de-obra temporária;255548
2013;81214;Limpeza em prédios e em domicílios;248100
2019;81214;Limpeza em prédios e em domicílios;246707
2021;81214;Limpeza em prédios e em domicílios;242419
2015;81214;Limpeza em prédios e em domicílios;242257
2012;81214;Limpeza em prédios e em domicílios;238745
2017;81214;Limpeza em prédios e em domicílios;236438
2021;82202;Atividades de teleatendimento;236329
2016;81214;Limpeza em prédios e em domicílios;235940
2020;81214;Limpeza em prédios e em domicílios;235625
2020;82202;Atividades de teleatendimento;225208
2013;47814;Comércio varejista de artigos do vestuário e acessórios;218263
2014;82202;Atividades de teleatendimento;217381
2013;82202;Atividades de teleatendimento;215530
2012;47814;Comércio varejista de artigos do vestuário e acessórios;211703
2012;82202;Atividades de teleatendimento;211586
2014;47814;Comércio varejista de artigos do vestuário e acessórios;210391
2018;82202;Atividades de teleatendimento;209188
2019;82202;Atividades de teleatendimento;208593
2017;82202;Atividades de teleatendimento;203446
2015;82202;Atividades de teleatendimento;202833
2015;47814;Comércio varejista de artigos do vestuário e acessórios;198348
2013;47440;Comércio varejista de ferragens, madeira e materiais de construção;195630
2012;47440;Comércio varejista de ferragens, madeira e materiais de construção;193922
2016;82202;Atividades de teleatendimento;192685
2014;47440;Comércio varejista de ferragens, madeira e materiais de construção;191324
2018;47814;Comércio varejista de artigos do vestuário e acessórios;189033
2016;47814;Comércio varejista de artigos do vestuário e acessórios;187752
2017;47814;Comércio varejista de artigos do vestuário e acessórios;187705
2012;47890;Comércio varejista de outros produtos novos não especificados anteriormente;185886
2013;80111;Atividades de vigilância e segurança privada;185672
2015;47440;Comércio varejista de ferragens, madeira e materiais de construção;182460
2014;80111;Atividades de vigilância e segurança privada;181930
2019;47814;Comércio varejista de artigos do vestuário e acessórios;181274
2015;64221;Bancos múltiplos, com carteira comercial;177143
2016;81125;Condomínios prediais;175266
2016;64221;Bancos múltiplos, com carteira comercial;174975
2019;78205;Locação de mão-de-obra temporária;173679
2017;81125;Condomínios prediais;173224
2021;82113;Serviços combinados de escritório e apoio administrativo;171988
2021;47440;Comércio varejista de ferragens, madeira e materiais de construção;170630
2018;81125;Condomínios prediais;169669
2017;64221;Bancos múltiplos, com carteira comercial;168665
2019;81125;Condomínios prediais;163515
2020;47440;Comércio varejista de ferragens, madeira e materiais de construção;160421
2018;80111;Atividades de vigilância e segurança privada;159401
2020;81117;Serviços combinados para apoio a edifícios, exceto condomínios prediais;156720
