Ano;Emprego Formal;Massa de Rendimentos;Média Salarial;Menor Salário;Maior Salário
2012;13704570;30,933,625,926.62;2,257.18;186.60;93,240.00
2013;13946876;34,423,054,305.23;2,468.16;203.40;101,520.00
2014;14032223;37,223,399,155.22;2,652.71;217.20;108,468.81
2015;13610395;39,014,880,750.60;2,866.55;236.40;118,154.54
2016;13109274;40,067,415,501.65;3,056.42;264.00;131,282.03
2017;13047343;41,547,166,986.21;3,184.34;281.10;140,254.33
2018;13169250;43,134,047,949.23;3,275.36;286.20;143,064.74
2019;13148777;43,571,998,121.69;3,313.77;299.40;149,682.94
2020;12937095;43,706,891,579.03;3,378.42;313.50;156,533.31
2021;13686548;51,772,600,775.52;3,782.74;330.00;163,365.90
